"Month","Species","Area","Transect","Quadrat","Biomass","Hits","hits_s","hits","species","model"
"September","Oxeye sunflower","WMT","WMT-1",3,0.1,5,-0.352265207718574,5,"Oxeye sunflower","Model 2"
"September","Smooth brome","NET","NET-1",4,0.1,0,-0.554602993336625,0,"Smooth brome","Model 2"
"September","Smooth brome","NET","NET-2",1,0.1,0,-0.554602993336625,0,"Smooth brome","Model 2"
"September","Stiff sunflower","MT","MT-3",5,0.1,0,-0.554602993336625,0,"Stiff sunflower","Model 2"
"May","Bergamot","NWT","NWT-2",4,0.2,1,-0.514135436213015,1,"Bergamot","Model 2"
"May","Bergamot","WMT","WMT-1",6,0.2,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Bergamot","WMT","WMT-2",1,0.2,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Big bluestem","NET","NET-1",5,0.2,0,-0.554602993336625,0,"Big bluestem","Model 2"
"May","Canada wildrye","NET","NET-1",5,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"May","Canada wildrye","NET","NET-3",1,0.2,1,-0.514135436213015,1,"Canada wildrye","Model 2"
"May","Canada wildrye","NWT","NWT-3",6,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"May","Canada wildrye","WMT","WMT-2",4,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"May","Dandelion","NET","NET-3",6,0.2,2,-0.473667879089405,2,"Dandelion","Model 2"
"May","Field bindweed","MT","MT-1",1,0.2,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Field bindweed","WMT","WMT-3",5,0.2,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Gray headed coneflower","NET","NET-2",5,0.2,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","WMT","WMT-3",4,0.2,2,-0.473667879089405,2,"Grey headed coneflower","Model 2"
"May","Hedge bindweed","MT","MT-2",2,0.2,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Hedge bindweed","NET","NET-3",5,0.2,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Hedge bindweed","WMT","WMT-1",3,0.2,1,-0.514135436213015,1,"Hedge bindweed","Model 2"
"May","Ironweed","WMT","WMT-3",2,0.2,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Ironweed","WMT","WMT-3",3,0.2,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Little bluestem","NET","NET-1",1,0.2,1,-0.514135436213015,1,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-3",5,0.2,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-2",3,0.2,1,-0.514135436213015,1,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-2",4,0.2,1,-0.514135436213015,1,"Little bluestem","Model 2"
"May","Pale purple coneflower","WMT","WMT-2",1,0.2,0,-0.554602993336625,0,"Pale purple coneflower","Model 2"
"May","Queen Ann's lace","NET","NET-3",2,0.2,0,-0.554602993336625,0,"Queen Ann's lace","Model 2"
"May","Side oats gramma","WMT","WMT-2",3,0.2,4,-0.392732764842184,4,"Side oats gramma","Model 2"
"May","Stiff goldenrod","WMT","WMT-1",3,0.2,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"May","Switchgrass","WMT","WMT-3",3,0.2,0,-0.554602993336625,0,"Switchgrass","Model 2"
"May","Tumble mustard","WMT","WMT-2",1,0.2,0,-0.554602993336625,0,"Tumble mustard","Model 2"
"July","Bergamot","MT","MT-3",5,0.2,0,-0.554602993336625,0,"Bergamot","Model 2"
"July","Big bluestem","NWT","NWT-2",5,0.2,2,-0.473667879089405,2,"Big bluestem","Model 2"
"July","Black medic","MT","MT-1",4,0.2,0,-0.554602993336625,0,"Black medic","Model 2"
"July","Canada wildrye","NWT","NWT-1",2,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","NWT","NWT-2",5,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","NWT","NWT-3",1,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Gray headed coneflower","SWT","SWT-2",6,0.2,5,-0.352265207718574,5,"Grey headed coneflower","Model 2"
"July","Hedge bindweed","MT","MT-2",5,0.2,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"July","Little bluestem","WMT","WMT-2",5,0.2,3,-0.433200321965794,3,"Little bluestem","Model 2"
"July","Side oats gramma","WMT","WMT-1",3,0.2,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Smooth brome","NET","NET-3",2,0.2,2,-0.473667879089405,2,"Smooth brome","Model 2"
"July","Smooth brome","SET","SET-2",6,0.2,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Sweet clover","NET","NET-3",1,0.2,1,-0.514135436213015,1,"Sweet clover","Model 2"
"July","Sweet clover","SET","SET-2",2,0.2,2,-0.473667879089405,2,"Sweet clover","Model 2"
"July","Switchgrass","SET","SET-2",1,0.2,0,-0.554602993336625,0,"Switchgrass","Model 2"
"September","Bergamot","WMT","WMT-3",2,0.2,4,-0.392732764842184,4,"Bergamot","Model 2"
"September","Big bluestem","NET","NET-3",4,0.2,0,-0.554602993336625,0,"Big bluestem","Model 2"
"September","Canada thistle","NET","NET-2",6,0.2,0,-0.554602993336625,0,"Canada thistle","Model 2"
"September","Canada wildrye","NET","NET-1",3,0.2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"September","Field bindweed","MT","MT-3",1,0.2,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Gray headed coneflower","NET","NET-2",3,0.2,3,-0.433200321965794,3,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","NET","NET-3",4,0.2,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","NWT","NWT-3",4,0.2,4,-0.392732764842184,4,"Grey headed coneflower","Model 2"
"September","Oxeye sunflower","SWT","SWT-1",3,0.2,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"September","Panicle aster","NET","NET-1",2,0.2,3,-0.433200321965794,3,"Panicle aster","Model 2"
"September","Side oats gramma","NET","NET-2",3,0.2,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"September","Smooth brome","NET","NET-2",3,0.2,0,-0.554602993336625,0,"Smooth brome","Model 2"
"September","Smooth groundcherry","NET","NET-3",6,0.2,0,-0.554602993336625,0,"Smooth groundcherry","Model 2"
"May","Bergamot","NWT","NWT-2",3,0.3,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Canada wildrye","NET","NET-3",5,0.3,11,-0.109459864976914,11,"Canada wildrye","Model 2"
"May","Canada wildrye","WMT","WMT-2",1,0.3,1,-0.514135436213015,1,"Canada wildrye","Model 2"
"May","Cup plant","NET","NET-1",4,0.3,0,-0.554602993336625,0,"Cup plant","Model 2"
"May","Cup plant","NWT","NWT-1",5,0.3,0,-0.554602993336625,0,"Cup plant","Model 2"
"May","Field bindweed","NET","NET-1",3,0.3,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Hedge bindweed","MT","MT-1",3,0.3,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Ironweed","WMT","WMT-3",4,0.3,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Kentucky bluegrass","WMT","WMT-3",4,0.3,0,-0.554602993336625,0,"Kentucky bluegrass","Model 2"
"May","Little bluestem","NET","NET-1",3,0.3,2,-0.473667879089405,2,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-3",6,0.3,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","WMT","WMT-1",1,0.3,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","WMT","WMT-1",3,0.3,1,-0.514135436213015,1,"Little bluestem","Model 2"
"May","Prairie phlox","MT","MT-3",2,0.3,0,-0.554602993336625,0,"Prairie phlox","Model 2"
"May","Side oats gramma","MT","MT-2",1,0.3,4,-0.392732764842184,4,"Side oats gramma","Model 2"
"May","Stiff goldenrod","NET","NET-3",1,0.3,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Yellow nutsedge","NWT","NWT-3",2,0.3,0,-0.554602993336625,0,"Yellow nutsedge","Model 2"
"July","Big bluestem","MT","MT-1",6,0.3,0,-0.554602993336625,0,"Big bluestem","Model 2"
"July","Canada thistle","NWT","NWT-3",5,0.3,0,-0.554602993336625,0,"Canada thistle","Model 2"
"July","Canada wildrye","NET","NET-2",3,0.3,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","NET","NET-3",1,0.3,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","SWT","SWT-2",2,0.3,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","SWT","SWT-3",1,0.3,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Cup plant","SWT","SWT-1",3,0.3,0,-0.554602993336625,0,"Cup plant","Model 2"
"July","Field bindweed","NWT","NWT-2",1,0.3,0,-0.554602993336625,0,"Field bindweed","Model 2"
"July","Mullein","SET","SET-3",1,0.3,0,-0.554602993336625,0,"Mullein","Model 2"
"July","Mullein","WMT","WMT-1",2,0.3,0,-0.554602993336625,0,"Mullein","Model 2"
"July","Pale purple coneflower","MT","MT-3",4,0.3,0,-0.554602993336625,0,"Pale purple coneflower","Model 2"
"July","Side oats gramma","NWT","NWT-2",3,0.3,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Sweet clover","WMT","WMT-1",3,0.3,0,-0.554602993336625,0,"Sweet clover","Model 2"
"September","Bergamot","SET","SET-3",1,0.3,1,-0.514135436213015,1,"Bergamot","Model 2"
"September","Cup plant","SWT","SWT-1",5,0.3,8,-0.230862536347744,8,"Cup plant","Model 2"
"September","Field bindweed","MT","MT-1",4,0.3,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Gray headed coneflower","SET","SET-3",2,0.3,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"May","Canada goldenrod","NWT","NWT-3",6,0.4,0,-0.554602993336625,0,"Canada goldenrod","Model 2"
"May","Cup plant","NET","NET-2",6,0.4,8,-0.230862536347744,8,"Cup plant","Model 2"
"May","Ironweed","WMT","WMT-3",5,0.4,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Little bluestem","MT","MT-1",6,0.4,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-1",2,0.4,2,-0.473667879089405,2,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-3",4,0.4,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Stiff goldenrod","NET","NET-2",1,0.4,3,-0.433200321965794,3,"Stiff leaf goldenrod","Model 2"
"May","Stiff goldenrod","WMT","WMT-1",6,0.4,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Tumble mustard","WMT","WMT-1",1,0.4,0,-0.554602993336625,0,"Tumble mustard","Model 2"
"July","Bergamot","WMT","WMT-1",6,0.4,0,-0.554602993336625,0,"Bergamot","Model 2"
"July","Indiangrass","NET","NET-3",2,0.4,0,-0.554602993336625,0,"Indiangrass","Model 2"
"July","Stiff goldenrod","SWT","SWT-1",2,0.4,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"July","Switchgrass","SET","SET-2",3,0.4,0,-0.554602993336625,0,"Switchgrass","Model 2"
"July","Yellow wood sorrel","NET","NET-2",6,0.4,0,-0.554602993336625,0,"Yellow wood sorrel","Model 2"
"September","Bull thistle","NWT","NWT-1",3,0.4,0,-0.554602993336625,0,"Bull thistle","Model 2"
"September","Canada wildrye","NWT","NWT-1",3,0.4,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"September","Canada wildrye","NWT","NWT-2",3,0.4,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"September","Canada wildrye","WMT","WMT-1",2,0.4,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"September","Canada wildrye","WMT","WMT-2",5,0.4,3,-0.433200321965794,3,"Canada wildrye","Model 2"
"September","Cup plant","NET","NET-3",5,0.4,6,-0.311797650594964,6,"Cup plant","Model 2"
"September","Dandelion","SET","SET-1",6,0.4,0,-0.554602993336625,0,"Dandelion","Model 2"
"September","Field bindweed","SWT","SWT-1",1,0.4,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Little bluestem","NET","NET-1",6,0.4,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Prickly lettuce","NWT","NWT-1",1,0.4,0,-0.554602993336625,0,"Prickly lettuce","Model 2"
"September","Stiff goldenrod","NET","NET-3",2,0.4,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Bergamot","WMT","WMT-3",3,0.5,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Canada wildrye","WMT","WMT-2",3,0.5,6,-0.311797650594964,6,"Canada wildrye","Model 2"
"May","Canada wildrye","WMT","WMT-3",2,0.5,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"May","Dandelion","NET","NET-1",6,0.5,0,-0.554602993336625,0,"Dandelion","Model 2"
"May","Gray headed coneflower","WMT","WMT-3",3,0.5,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Stiff goldenrod","NET","NET-1",4,0.5,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"July","Big bluestem","SET","SET-2",3,0.5,0,-0.554602993336625,0,"Big bluestem","Model 2"
"July","Big bluestem","SET","SET-3",2,0.5,1,-0.514135436213015,1,"Big bluestem","Model 2"
"July","Canada thistle","SET","SET-1",2,0.5,0,-0.554602993336625,0,"Canada thistle","Model 2"
"July","Gray headed coneflower","NWT","NWT-1",2,0.5,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","WMT","WMT-1",4,0.5,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Mullein","SET","SET-3",2,0.5,1,-0.514135436213015,1,"Mullein","Model 2"
"September","Field bindweed","MT","MT-1",5,0.5,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Indiangrass","SET","SET-2",6,0.5,5,-0.352265207718574,5,"Indiangrass","Model 2"
"September","Smooth brome","NWT","NWT-3",5,0.5,0,-0.554602993336625,0,"Smooth brome","Model 2"
"September","Yellow foxtail","WMT","WMT-1",3,0.5,0,-0.554602993336625,0,"Yellow foxtail","Model 2"
"May","Canada wildrye","NET","NET-2",6,0.6,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"May","Canada wildrye","WMT","WMT-2",5,0.6,1,-0.514135436213015,1,"Canada wildrye","Model 2"
"May","Field bindweed","NET","NET-3",1,0.6,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Field bindweed","WMT","WMT-3",1,0.6,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Gray headed coneflower","NET","NET-2",3,0.6,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NET","NET-3",4,0.6,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NWT","NWT-2",3,0.6,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Hedge bindweed","WMT","WMT-1",2,0.6,7,-0.271330093471354,7,"Hedge bindweed","Model 2"
"May","Little bluestem","MT","MT-3",1,0.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-3",3,0.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-3",6,0.6,6,-0.311797650594964,6,"Little bluestem","Model 2"
"May","Stiff goldenrod","NET","NET-1",2,0.6,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Stiff goldenrod","NET","NET-3",5,0.6,5,-0.352265207718574,5,"Stiff leaf goldenrod","Model 2"
"May","Stiff goldenrod","WMT","WMT-2",5,0.6,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"July","Big bluestem","MT","MT-3",4,0.6,11,-0.109459864976914,11,"Big bluestem","Model 2"
"July","Black medic","SWT","SWT-3",2,0.6,2,-0.473667879089405,2,"Black medic","Model 2"
"July","Bull thistle","NWT","NWT-3",3,0.6,0,-0.554602993336625,0,"Bull thistle","Model 2"
"July","Canada wildrye","SET","SET-1",2,0.6,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","SET","SET-2",2,0.6,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","SET","SET-3",2,0.6,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","WMT","WMT-2",1,0.6,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Gray headed coneflower","SET","SET-3",2,0.6,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Little bluestem","NWT","NWT-1",2,0.6,5,-0.352265207718574,5,"Little bluestem","Model 2"
"July","Musk thistle","SWT","SWT-3",2,0.6,0,-0.554602993336625,0,"Musk thistle","Model 2"
"July","Smooth brome","SET","SET-3",4,0.6,3,-0.433200321965794,3,"Smooth brome","Model 2"
"September","Bergamot","SET","SET-2",1,0.6,0,-0.554602993336625,0,"Bergamot","Model 2"
"September","Little bluestem","NWT","NWT-3",5,0.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Missouri goldenrodf","SET","SET-2",4,0.6,2,-0.473667879089405,2,"Missouri goldenrodf","Model 2"
"September","Musk thistle","MT","MT-1",2,0.6,0,-0.554602993336625,0,"Musk thistle","Model 2"
"September","Oxeye sunflower","NET","NET-3",5,0.6,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"September","Side oats gramma","WMT","WMT-1",2,0.6,5,-0.352265207718574,5,"Side oats gramma","Model 2"
"September","Smooth brome","NET","NET-1",5,0.6,0,-0.554602993336625,0,"Smooth brome","Model 2"
"September","Stiff goldenrod","WMT","WMT-2",1,0.6,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Bergamot","WMT","WMT-3",5,0.7,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Gray headed coneflower","WMT","WMT-1",5,0.7,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Hedge bindweed","NET","NET-2",2,0.7,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Little bluestem","NET","NET-3",1,0.7,2,-0.473667879089405,2,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-1",1,0.7,3,-0.433200321965794,3,"Little bluestem","Model 2"
"May","Stiff goldenrod","NET","NET-1",3,0.7,2,-0.473667879089405,2,"Stiff leaf goldenrod","Model 2"
"July","Canada wildrye","NWT","NWT-1",4,0.7,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Field bindweed","MT","MT-3",4,0.7,0,-0.554602993336625,0,"Field bindweed","Model 2"
"July","Hedge bindweed","SWT","SWT-1",1,0.7,1,-0.514135436213015,1,"Hedge bindweed","Model 2"
"July","Indiangrass","NET","NET-3",3,0.7,0,-0.554602993336625,0,"Indiangrass","Model 2"
"July","Indiangrass","SET","SET-1",2,0.7,2,-0.473667879089405,2,"Indiangrass","Model 2"
"July","Prickly lettuce","NET","NET-2",4,0.7,0,-0.554602993336625,0,"Prickly lettuce","Model 2"
"July","Side oats gramma","NET","NET-1",2,0.7,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Smooth brome","NET","NET-3",1,0.7,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Smooth brome","SWT","SWT-2",4,0.7,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Stiff goldenrod","SET","SET-2",6,0.7,4,-0.392732764842184,4,"Stiff leaf goldenrod","Model 2"
"September","Field bindweed","MT","MT-3",3,0.7,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Gray headed coneflower","SWT","SWT-3",2,0.7,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Little bluestem","SWT","SWT-1",4,0.7,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Missouri goldenrodf","NWT","NWT-3",4,0.7,0,-0.554602993336625,0,"Missouri goldenrodf","Model 2"
"September","Mullein","SET","SET-2",3,0.7,0,-0.554602993336625,0,"Mullein","Model 2"
"September","Stiff goldenrod","SWT","SWT-2",2,0.7,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Bergamot","NWT","NWT-3",6,0.8,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Canada wildrye","WMT","WMT-2",6,0.8,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"May","Field bindweed","NWT","NWT-3",2,0.8,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Gray headed coneflower","NET","NET-2",6,0.8,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NWT","NWT-1",2,0.8,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Hedge bindweed","MT","MT-2",6,0.8,3,-0.433200321965794,3,"Hedge bindweed","Model 2"
"May","Sweet clover","WMT","WMT-1",1,0.8,8,-0.230862536347744,8,"Sweet clover","Model 2"
"July","Bergamot","WMT","WMT-2",2,0.8,4,-0.392732764842184,4,"Bergamot","Model 2"
"July","Canada wildrye","NET","NET-1",4,0.8,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","NWT","NWT-2",6,0.8,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"July","Canada wildrye","SET","SET-2",6,0.8,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Canada wildrye","SWT","SWT-1",6,0.8,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Cup plant","SWT","SWT-1",1,0.8,0,-0.554602993336625,0,"Cup plant","Model 2"
"July","Field bindweed","SWT","SWT-1",6,0.8,0,-0.554602993336625,0,"Field bindweed","Model 2"
"July","Side oats gramma","NWT","NWT-2",6,0.8,1,-0.514135436213015,1,"Side oats gramma","Model 2"
"September","Gray headed coneflower","NET","NET-2",5,0.8,3,-0.433200321965794,3,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","SET","SET-2",1,0.8,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","SWT","SWT-2",5,0.8,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Little bluestem","MT","MT-3",1,0.8,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Pale purple coneflower","SWT","SWT-2",2,0.8,2,-0.473667879089405,2,"Pale purple coneflower","Model 2"
"May","Canada wildrye","NWT","NWT-2",1,0.9,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"May","Cup plant","WMT","WMT-3",2,0.9,0,-0.554602993336625,0,"Cup plant","Model 2"
"May","Gray headed coneflower","NET","NET-3",5,0.9,7,-0.271330093471354,7,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NWT","NWT-2",2,0.9,2,-0.473667879089405,2,"Grey headed coneflower","Model 2"
